Date,Price,Open,High,Low,Vol.,Change %
24-Apr-14,1878.61,1881.97,1884.06,1870.24,-,0.17%
23-Apr-14,1875.39,1879.32,1879.75,1873.91,-,-0.22%
22-Apr-14,1879.55,1872.57,1884.89,1872.57,-,0.41%
21-Apr-14,1871.89,1865.79,1871.89,1863.18,-,0.38%
17-Apr-14,1864.85,1861.73,1869.63,1856.72,-,0.14%
16-Apr-14,1862.31,1846.01,1862.31,1846.01,-,1.05%
15-Apr-14,1842.98,1831.45,1844.02,1816.29,-,0.68%
14-Apr-14,1830.61,1818.18,1834.19,1815.8,-,0.82%
11-Apr-14,1815.69,1830.65,1835.07,1814.36,-,-0.95%
10-Apr-14,1833.08,1872.28,1872.53,1830.87,-,-2.09%
9-Apr-14,1872.18,1852.64,1872.43,1852.38,-,1.09%
8-Apr-14,1851.96,1845.48,1854.95,1837.49,-,0.38%
7-Apr-14,1845.04,1863.92,1864.04,1841.48,-,-1.08%
4-Apr-14,1865.09,1890.25,1897.28,1863.26,-,-1.25%
3-Apr-14,1888.77,1891.43,1893.8,1882.65,-,-0.11%
2-Apr-14,1890.9,1886.61,1893.17,1883.79,-,0.29%
1-Apr-14,1885.52,1873.96,1885.84,1873.96,-,0.70%
31-Mar-14,1872.34,1859.16,1875.18,1859.16,-,0.79%
28-Mar-14,1857.62,1850.07,1866.63,1850.07,-,0.46%
27-Mar-14,1849.04,1852.11,1855.55,1842.11,-,-0.19%
26-Mar-14,1852.56,1867.09,1875.92,1852.56,-,-0.70%
25-Mar-14,1865.62,1859.48,1871.87,1855.96,-,0.44%
24-Mar-14,1857.44,1867.67,1873.34,1849.69,-,-0.49%
21-Mar-14,1866.52,1874.53,1883.97,1863.46,-,-0.29%
20-Mar-14,1872.01,1860.09,1873.49,1854.63,-,0.60%
19-Mar-14,1860.77,1872.25,1874.14,1850.35,-,-0.61%
18-Mar-14,1872.25,1858.92,1873.76,1858.92,-,0.72%
17-Mar-14,1858.83,1842.81,1862.3,1842.81,-,0.96%
14-Mar-14,1841.13,1845.07,1852.44,1839.57,-,-0.28%
13-Mar-14,1846.34,1869.06,1874.4,1841.86,-,-1.17%
12-Mar-14,1868.2,1866.15,1868.38,1854.38,-,0.03%
11-Mar-14,1867.63,1878.26,1882.35,1863.88,-,-0.51%
10-Mar-14,1877.17,1877.86,1877.87,1867.04,-,-0.05%
7-Mar-14,1878.04,1878.52,1883.57,1870.56,-,0.05%
6-Mar-14,1877.03,1874.18,1881.94,1874.18,-,0.17%
5-Mar-14,1873.81,1874.05,1876.53,1871.11,-,-0.01%
4-Mar-14,1873.91,1849.23,1876.23,1849.23,-,1.53%
3-Mar-14,1845.73,1857.68,1857.68,1834.44,-,-0.74%
28-Feb-14,1859.45,1855.12,1867.92,1847.67,-,0.28%
27-Feb-14,1854.29,1844.9,1854.53,1841.13,-,0.49%
26-Feb-14,1845.16,1845.79,1852.65,1840.66,-,0.00%
25-Feb-14,1845.12,1847.66,1852.91,1840.19,-,-0.13%
24-Feb-14,1847.61,1836.78,1858.71,1836.78,-,0.62%
21-Feb-14,1836.25,1841.07,1846.13,1835.6,-,-0.19%
20-Feb-14,1839.78,1829.24,1842.79,1824.58,-,0.60%
19-Feb-14,1828.75,1838.9,1847.5,1826.99,-,-0.65%
18-Feb-14,1840.76,1839.03,1842.87,1835.01,-,0.12%
14-Feb-14,1838.63,1828.46,1841.65,1825.59,-,0.48%
13-Feb-14,1829.83,1814.82,1830.25,1809.22,-,0.58%
12-Feb-14,1819.26,1820.12,1826.55,1815.97,-,-0.03%
11-Feb-14,1819.75,1800.45,1823.54,1800.41,-,1.11%
10-Feb-14,1799.84,1796.2,1799.94,1791.83,-,0.16%
7-Feb-14,1797.02,1776.01,1798.03,1776.01,-,1.33%
6-Feb-14,1773.43,1752.99,1774.06,1752.99,-,1.24%
5-Feb-14,1751.64,1753.38,1755.79,1737.92,-,-0.20%
4-Feb-14,1755.2,1743.82,1758.73,1743.82,-,0.76%
3-Feb-14,1741.89,1782.68,1784.83,1739.66,-,-2.28%
31-Jan-14,1782.59,1790.88,1793.88,1772.26,-,-0.65%
30-Jan-14,1794.19,1777.17,1798.77,1777.17,-,1.13%
29-Jan-14,1774.2,1790.15,1790.15,1770.45,-,-1.02%
28-Jan-14,1792.5,1783,1793.87,1779.49,-,0.61%
27-Jan-14,1781.56,1791.03,1795.98,1772.88,-,-0.49%
24-Jan-14,1790.29,1826.96,1826.96,1790.29,-,-2.09%
23-Jan-14,1828.46,1842.29,1842.29,1820.06,-,-0.89%
22-Jan-14,1844.86,1844.71,1846.87,1840.88,-,0.06%
21-Jan-14,1843.8,1841.05,1849.31,1832.38,-,0.28%
17-Jan-14,1838.7,1844.23,1846.04,1835.23,-,-0.39%
16-Jan-14,1845.89,1847.99,1847.99,1840.3,-,-0.13%
15-Jan-14,1848.38,1840.52,1850.84,1840.52,-,0.52%
14-Jan-14,1838.88,1821.36,1839.26,1821.36,-,1.08%
13-Jan-14,1819.2,1841.26,1843.45,1815.52,-,-1.26%
10-Jan-14,1842.37,1840.06,1843.15,1832.43,-,0.23%
9-Jan-14,1838.13,1839,1843.23,1830.38,-,0.03%
8-Jan-14,1837.49,1837.9,1840.02,1831.4,-,-0.02%
7-Jan-14,1837.88,1828.71,1840.1,1828.71,-,0.61%
6-Jan-14,1826.77,1832.31,1837.16,1823.73,-,-0.25%
3-Jan-14,1831.37,1833.21,1838.24,1829.13,-,-0.03%
2-Jan-14,1831.98,1845.86,1845.86,1827.74,-,-0.89%
31-Dec-13,1848.36,1842.61,1849.44,1842.41,-,0.40%
30-Dec-13,1841.07,1841.47,1842.47,1838.77,-,-0.02%
27-Dec-13,1841.4,1842.97,1844.89,1839.81,-,-0.03%
26-Dec-13,1842.02,1834.96,1842.84,1834.96,-,0.47%
24-Dec-13,1833.32,1828.02,1833.32,1828.02,-,0.29%
23-Dec-13,1827.99,1822.92,1829.75,1822.92,-,0.53%
20-Dec-13,1818.32,1810.39,1823.75,1810.25,-,0.48%
19-Dec-13,1809.6,1809,1810.88,1801.35,-,-0.06%
18-Dec-13,1810.65,1781.46,1811.08,1767.99,-,1.66%
