Date,Price,Open,High,Low,Vol.,Change %
13-Nov-14,1161.1,1163.7,1164.5,1155,1.05K,0.19%
12-Nov-14,1158.9,1162.5,1168.1,1157.5,0.02K,-0.34%
11-Nov-14,1162.8,1155,1170.5,1151.6,0.02K,0.28%
10-Nov-14,1159.6,1171,1171,1150.7,0.04K,-0.85%
7-Nov-14,1169.6,1139.9,1169.7,1132.9,0.10K,2.39%
6-Nov-14,1142.3,1141.1,1147.5,1137.9,0.14K,-0.27%
5-Nov-14,1145.4,1168.1,1168.7,1137.8,0.16K,-1.88%
4-Nov-14,1167.4,1166.9,1171,1165,0.04K,-0.17%
3-Nov-14,1169.4,1166.4,1172.3,1163.1,0.06K,-0.15%
31-Oct-14,1171.1,1199.6,1199.7,1161.4,0.26K,-2.25%
30-Oct-14,1198.1,1213.7,1214.7,1195.8,0.52K,-2.14%
29-Oct-14,1224.3,1224.3,1224.3,1224.3,-,-0.40%
28-Oct-14,1229.2,1224.9,1231,1224.7,0.05K,0.01%
27-Oct-14,1229.1,1230.2,1230.2,1227.3,0.28K,-0.17%
24-Oct-14,1231.2,1229.4,1232.7,1229.4,0.07K,0.22%
23-Oct-14,1228.5,1228,1228,1227.9,0.00K,-1.31%
22-Oct-14,1244.8,1244.8,1244.8,1244.3,0.00K,-0.50%
21-Oct-14,1251,1251,1251,1251,0.05K,0.56%
20-Oct-14,1244,1237.3,1244,1235.4,0.11K,0.46%
17-Oct-14,1238.3,1237.4,1237.5,1232.6,0.36K,-0.18%
16-Oct-14,1240.5,1242.1,1243,1236.7,0.01K,-0.29%
15-Oct-14,1244.1,1243.7,1247,1230.9,0.25K,0.85%
14-Oct-14,1233.6,1235.9,1235.9,1235.8,0.07K,0.35%
13-Oct-14,1229.3,1229.8,1234,1227,0.10K,0.68%
10-Oct-14,1221,1223.5,1223.5,1217,0.19K,-0.29%
9-Oct-14,1224.6,1223.9,1229,1223.9,0.02K,1.60%
8-Oct-14,1205.3,1210.2,1217.9,1207,0.01K,-0.53%
7-Oct-14,1211.7,1209.1,1210.8,1205.3,0.27K,0.41%
6-Oct-14,1206.7,1187.7,1208,1182.8,0.42K,1.22%
3-Oct-14,1192.2,1212.4,1212.4,1191,0.50K,-1.81%
2-Oct-14,1214.2,1215.3,1219.5,1210.3,0.18K,-0.03%
1-Oct-14,1214.6,1207.7,1217.8,1205.5,0.18K,0.34%
30-Sep-14,1210.5,1214.8,1218.2,1204,0.68K,-0.57%
29-Sep-14,1217.5,1216.3,1222.2,1214.7,6.34K,0.28%
26-Sep-14,1214.1,1214.1,1214.1,1214.1,0.00K,-0.58%
25-Sep-14,1221.2,1209.5,1216.1,1209.5,0.01K,0.21%
24-Sep-14,1218.6,1216.8,1216.8,1216.8,0.00K,-0.20%
23-Sep-14,1221,1221,1221,1221,0.01K,0.35%
22-Sep-14,1216.8,1214.9,1214.9,1212.4,0.01K,0.12%
19-Sep-14,1215.3,1218.3,1218.3,1218.3,0.00K,-0.85%
18-Sep-14,1225.7,1216.2,1220.4,1216.2,0.01K,-0.70%
17-Sep-14,1234.4,1236.2,1236.2,1221.9,0.01K,-0.06%
16-Sep-14,1235.2,1238.3,1238.3,1235.9,0.00K,0.13%
15-Sep-14,1233.6,1226.7,1235,1226.7,0.02K,0.30%
12-Sep-14,1229.9,1227,1227,1227,0.05K,-0.61%
11-Sep-14,1237.4,1237.4,1237.4,1237.4,-,-0.49%
10-Sep-14,1243.5,1256.7,1256.7,1243.5,0.10K,-0.26%
9-Sep-14,1246.8,1246.8,1246.8,1246.8,-,-0.47%
8-Sep-14,1252.7,1268.4,1268.4,1262.2,0.00K,-1.03%
5-Sep-14,1265.8,1263.2,1268.1,1263.2,0.12K,0.06%
4-Sep-14,1265.1,1268.7,1272.7,1260.3,0.29K,-0.30%
3-Sep-14,1268.9,1266.3,1271.1,1263.1,0.28K,0.41%
2-Sep-14,1263.7,1284.5,1286.4,1262.5,0.28K,-1.84%
1-Sep-14,1287.4,1287.6,1290.9,1285.9,-,-0.02%
31-Aug-14,1287.7,1288.5,1289,1286.8,-,0.15%
29-Aug-14,1285.8,1289.5,1289.7,1284.8,0.12K,-0.23%
28-Aug-14,1288.7,1284.5,1293.7,1284.3,0.82K,0.53%
27-Aug-14,1281.9,1281.5,1282.3,1281.5,0.04K,-0.15%
26-Aug-14,1283.8,1289.4,1289.5,1281.1,0.07K,0.51%
25-Aug-14,1277.3,1277.3,1277.6,1273.7,0.25K,-0.10%
22-Aug-14,1278.6,1276,1280,1275,0.12K,0.38%
21-Aug-14,1273.7,1290,1290,1272,0.26K,-1.52%
20-Aug-14,1293.4,1295.4,1295.8,1288.4,0.33K,-0.13%
19-Aug-14,1295.1,1298.8,1301.7,1294,0.14K,-0.20%
18-Aug-14,1297.7,1301.4,1302.1,1295.7,0.10K,-0.52%
15-Aug-14,1304.5,1311.7,1312.8,1292,0.20K,-0.72%
14-Aug-14,1313.9,1311.8,1316.4,1309.7,0.32K,0.08%
13-Aug-14,1312.8,1308.8,1312.6,1305,0.24K,0.31%
12-Aug-14,1308.8,1306.2,1315.8,1305.8,0.44K,0.02%
11-Aug-14,1308.5,1308.4,1309.7,1305.3,0.19K,-0.03%
8-Aug-14,1308.9,1310.8,1322.1,1308,0.59K,-0.14%
7-Aug-14,1310.8,1305.3,1313.2,1302.5,0.23K,0.31%
6-Aug-14,1306.7,1288.1,1309,1287.8,0.71K,1.77%
5-Aug-14,1284,1288,1292.7,1282.6,0.83K,-0.29%
4-Aug-14,1287.7,1294.4,1295,1285.9,0.92K,-0.46%
1-Aug-14,1293.6,1284.1,1296.6,1279.7,1.99K,0.96%
31-Jul-14,1281.3,1295.1,1297.3,1280.6,5.66K,-1.05%
30-Jul-14,1294.9,1298.6,1303,1291,36.19K,-0.26%
29-Jul-14,1298.3,1310.9,1310.9,1310,0.05K,-0.38%
28-Jul-14,1303.3,1307.4,1308,1304.3,0.05K,0.02%
25-Jul-14,1303.1,1294.8,1294.8,1294.8,0.01K,0.97%
24-Jul-14,1290.6,1297.5,1297.5,1297.5,0.00K,-1.07%
23-Jul-14,1304.5,1304.5,1304.5,1304.5,-,-0.12%
22-Jul-14,1306.1,1306.1,1306.1,1306.1,0.00K,-0.58%
21-Jul-14,1313.7,1311,1315.5,1311,0.02K,0.34%
18-Jul-14,1309.2,1322.7,1322.7,1306.2,0.03K,-0.57%
17-Jul-14,1316.7,1303.1,1323.8,1303.1,0.02K,1.32%
16-Jul-14,1299.6,1298.4,1303.1,1296.9,0.03K,0.21%
15-Jul-14,1296.9,1307.4,1312.1,1294.1,0.37K,-0.72%
14-Jul-14,1306.3,1332.8,1332.8,1304.7,0.10K,-2.30%
11-Jul-14,1337,1337.9,1339,1336.2,0.11K,-0.13%
10-Jul-14,1338.7,1330.5,1343.7,1328,0.03K,1.13%
9-Jul-14,1323.8,1324,1330.4,1324,0.02K,0.59%
